CREATION_DATE,OBJECT_ID,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE
2021-11-01T06:46:11,1992-072J,797.35.00,DEBRIS,MEDIUM,FRANCIA,1992,FRANCIAGUI
2021-11-01T04:58:37,1979-028C,961.59.00,DEBRIS,SMALL,EX USSR,1979,PKMTR
2021-11-01T06:26:11,2001-015A,33853.18.00,PAYLOAD,LARGE,INDIA,2001,SRI
2021-10-31T18:07:15,1999-057MB,600.57.00,DEBRIS,SMALL,CINA,1999,TSC
2021-11-01T04:58:37,1999-057MC,617.11.00,DEBRIS,SMALL,CINA,1999,TSC
2021-11-01T06:36:11,1999-057MD,713.11.00,DEBRIS,SMALL,CINA,1999,TSC
2021-10-31T18:07:15,2001-018A,36131.22.00,PAYLOAD,LARGE,STATI UNITI,2001,SEA LAUNCH DEMO
2021-11-01T04:58:37,2001-018B,904.48.00,ROCKET BODY,LARGE,SEA LAUNCH DEMO,2001,SEA LAUNCH DEMO
2021-10-25T02:11:01,1965-108AS,658.28.00,DEBRIS,SMALL,STATI UNITI,1965,AFETR
2021-11-01T04:58:37,2001-019A,35777.32.00,PAYLOAD,LARGE,STATI UNITI,2001,TTMTR
2021-10-31T18:07:15,2001-019D,7144.07.00,ROCKET BODY,LARGE,EX USSR,2001,TTMTR
2021-10-31T18:07:15,1965-108AW,675.39.00,DEBRIS,MEDIUM,STATI UNITI,1965,AFETR
2021-10-24T22:46:11,1965-108AX,847.45.00,DEBRIS,SMALL,STATI UNITI,1965,AFETR
2021-10-28T19:47:07,1965-108AY,1928.38.00,DEBRIS,MEDIUM,STATI UNITI,1965,AFETR
2021-11-01T06:36:11,1965-108AZ,527.18.00,DEBRIS,MEDIUM,STATI UNITI,1965,AFETR
2021-11-01T06:46:11,1965-108BA,305.02.00,DEBRIS,MEDIUM,STATI UNITI,1965,AFETR
2021-10-30T14:46:12,1965-108BB,1122.55.00,DEBRIS,MEDIUM,STATI UNITI,1965,AFETR
2021-11-01T14:56:11,1984-035C,386.05.00,DEBRIS,SMALL,CINA,1984,XSC
2021-11-01T04:58:37,1981-016J,3263.13.00,DEBRIS,MEDIUM,EX USSR,1981,PKMTR
2021-11-01T14:56:11,1985-056M,978.39.00,DEBRIS,MEDIUM,FRANCIA,1985,FRANCIAGUI
2021-10-19T17:52:15,1992-021Q,1101.07.00,DEBRIS,MEDIUM,FRANCIA,1992,FRANCIAGUI
2021-10-24T17:20:17,1992-019D,202.38.00,DEBRIS,SMALL,STATI UNITI,1992,AFETR
2021-11-01T04:58:37,1991-015L,662.08.00,DEBRIS,MEDIUM,FRANCIA,1991,FRANCIAGUI
2021-11-01T04:58:37,1988-081G,1099.03.00,DEBRIS,LARGE,FRANCIA,1988,FRANCIAGUI
